,collector_name,collector_address,collector_number,collector_nik,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender
481,Briana Church,"Jl. W.R. Supratman No. 136
Kota Administrasi Jakarta Timur, Jawa Barat 77067",+62 (325) 119 1568,5571195531716941,9,surat panggilan,22,247500000,306500000,228037,81.0,77067,8,15,"Jawa Tengah, 07-08-1970",53,Cerai hidup,perempuan
482,Erica Castro,"Gg. Kapten Muslihat No. 35
Banjar, DI Yogyakarta 05382",+62 (059) 734-0101,9153626765199526,6,surat panggilan,27,87000000,102500000,430933,85.0,5382,6,9,"Sumatera Selatan, 09-05-2000",23,Cerai hidup,laki-laki
483,Wendy Chavez,"Gg. Ronggowarsito No. 825
Banjarbaru, BE 53750",+62 (0482) 742 2846,5716992174639395,6,surat panggilan,35,62500000,87000000,366518,72.0,53750,1,11,"Kepulauan Bangka Belitung, 04-11-1975",48,Cerai mati,laki-laki
484,Penny Mendez,"Gang Setiabudhi No. 54
Sukabumi, Sumatera Barat 10604",+62 (047) 340 1712,5657698069819286,9,surat panggilan,24,37000000,227500000,409666,16.0,10604,8,20,"Bengkulu, 15-06-1983",40,Cerai mati,laki-laki
485,Eric Mccann,"Gang Ronggowarsito No. 867
Batu, Aceh 89630",+62 (858) 639-6917,3310665501736902,8,surat panggilan,38,311000000,318500000,645331,98.0,89630,15,12,"Riau, 30-05-1999",24,Cerai hidup,laki-laki
486,Jessica Nguyen,"Gang Kebonjati No. 4
Binjai, Sulawesi Tenggara 45844",+62 (68) 227-7680,4983281948474786,6,surat panggilan,38,414000000,441500000,738671,94.0,45844,11,17,"Aceh, 13-02-1979",44,Cerai hidup,laki-laki
487,Derek Washington,"Gang Cempaka No. 820
Tasikmalaya, JA 13485",+62-944-239-9467,5506417814724837,8,surat panggilan,24,141500000,177000000,429205,80.0,13485,13,2,"Sumatera Selatan, 12-11-1970",53,Cerai mati,perempuan
488,Sean Ortiz,"Jalan Indragiri No. 5
Bandung, Bali 65664",+62-77-014-7506,3214070384825587,9,surat panggilan,31,61000000,206500000,479397,30.0,65664,20,19,"DKI Jakarta, 21-12-1965",58,Belum menikah,perempuan
489,Justin Maldonado,"Jalan Surapati No. 23
Tomohon, Sulawesi Utara 28344",+62 (0580) 606-2149,6273481432632901,9,surat panggilan,21,67000000,155500000,221697,43.0,28344,12,11,"Riau, 19-01-1993",30,Cerai mati,perempuan
490,Tiffany Hartman,"Jl. Pasteur No. 304
Langsa, MA 88472",+62 (010) 995-6827,9766337737805701,9,surat panggilan,22,82500000,86000000,451071,96.0,88472,18,3,"Sumatera Utara, 09-10-1983",40,Belum menikah,laki-laki
491,Bradley Bird,"Gg. W.R. Supratman No. 37
Cilegon, SG 34351",+62 (77) 103 0724,2897387457095695,7,surat panggilan,35,31500000,96500000,351036,33.0,34351,5,10,"Kepulauan Bangka Belitung, 22-04-1990",33,Cerai mati,perempuan
492,Christopher Robinson,"Jl. H.J Maemunah No. 7
Surakarta, ST 11985",+62-0019-875-9889,1051257857002092,6,surat panggilan,22,110000000,112000000,369429,98.0,11985,7,14,"Banten, 03-02-1992",31,Menikah,laki-laki
493,Michelle Hull,"Jalan Cikutra Timur No. 181
Padang Sidempuan, BE 55292",+62 (067) 995-0935,1598384725081721,7,surat panggilan,31,187000000,292500000,471364,64.0,55292,18,6,"Kepulauan Riau, 03-04-1974",49,Belum menikah,perempuan
494,Gregory Smith,"Gg. Ciwastra No. 8
Jambi, Sumatera Selatan 04327",+62 (904) 738-1151,3989333564650557,9,surat panggilan,21,79000000,220000000,229104,36.0,4327,5,2,"Papua Barat, 09-06-1997",26,Cerai hidup,laki-laki
495,Larry Herrera,"Jalan Yos Sudarso No. 0
Padangpanjang, Banten 27115",+62-059-855-3396,2032926970290565,9,surat panggilan,36,274000000,385500000,568398,71.0,27115,10,15,"Sulawesi Tenggara, 29-12-1969",54,Cerai mati,laki-laki
496,Heidi Dennis,"Gg. Laswi No. 90
Batu, ST 05354",+62 (087) 495-5674,1164614838719755,6,surat panggilan,20,41500000,98500000,321129,42.0,5354,10,6,"Lampung, 02-04-1960",63,Cerai hidup,perempuan
497,Emma Andrews,"Gg. Rungkut Industri No. 428
Kupang, Nusa Tenggara Timur 67318",+62-05-161-6804,9896951516490522,7,surat panggilan,21,21500000,153000000,319802,14.000000000000002,67318,17,19,"Sulawesi Tenggara, 14-06-1978",45,Menikah,laki-laki
498,Robert Carey,"Gg. Peta No. 105
Pekanbaru, Sumatera Barat 33993",+62 (179) 380-7230,5126623299635730,9,surat panggilan,26,61000000,324500000,322776,19.0,33993,8,13,"Riau, 10-11-1967",56,Belum menikah,perempuan
499,Andre Cannon,"Jalan Peta No. 1
Cirebon, AC 81361",+62-993-475-4259,4845593652617352,6,surat panggilan,27,160500000,397000000,518999,40.0,81361,1,11,"Sulawesi Tenggara, 22-07-1986",37,Menikah,laki-laki
500,William Alvarez,"Gang Siliwangi No. 776
Bogor, SN 63422",+62 (01) 262 6424,8021749630993353,8,surat panggilan,20,45000000,185500000,374954,24.0,63422,3,17,"Kalimantan Barat, 25-03-1970",53,Belum menikah,laki-laki
501,Amy Wood,"Gang Cihampelas No. 185
Semarang, Kalimantan Selatan 35021",+62-672-648-9388,3900016175049778,9,surat panggilan,28,49500000,73000000,360910,68.0,35021,2,19,"Sulawesi Tengah, 28-11-1967",56,Menikah,perempuan
502,Eugene Welch,"Jalan Pasteur No. 282
Solok, DKI Jakarta 90201",+62-027-595-0614,4359500700600896,7,surat panggilan,23,19000000,43500000,471439,44.0,90201,8,5,"Lampung, 21-11-1996",27,Cerai mati,perempuan
503,Lori Foster,"Jalan Kebonjati No. 634
Batam, Maluku Utara 96259",+62 (857) 163-7997,3672613725078743,6,surat panggilan,27,200000000,387500000,518412,52.0,96259,1,12,"Bengkulu, 23-07-1997",26,Belum menikah,laki-laki
504,Joshua Bartlett,"Jl. Setiabudhi No. 49
Bukittinggi, Kalimantan Barat 74396",+62-17-737-9297,7713143599583277,9,surat panggilan,39,243500000,494000000,404713,49.0,74396,7,2,"Sumatera Utara, 25-05-1971",52,Cerai hidup,laki-laki
505,Cassandra Lynn,"Gg. Gedebage Selatan No. 725
Kotamobagu, Lampung 53514",+62 (42) 189 5086,2025593431520569,6,surat panggilan,26,69500000,150500000,306044,46.0,53514,15,11,"Jawa Barat, 22-09-1984",39,Cerai hidup,perempuan
506,Kelly Young,"Gang Soekarno Hatta No. 444
Bandar Lampung, Sulawesi Utara 52183",+62 (066) 617 1933,9828937413390285,7,surat panggilan,35,63500000,343500000,697727,18.0,52183,5,5,"Sulawesi Tenggara, 19-07-1970",53,Cerai hidup,laki-laki
507,Ruth Farmer,"Gg. Merdeka No. 2
Sabang, GO 68278",+62-69-934-4858,8437917630437373,7,surat panggilan,36,101000000,410000000,412149,25.0,68278,17,19,"Sulawesi Selatan, 22-11-1969",54,Belum menikah,perempuan
508,Cory Ochoa,"Jl. Merdeka No. 445
Pagaralam, DI Yogyakarta 21121",+62 (868) 612 2916,5563122186756150,9,surat panggilan,22,32000000,60000000,423926,53.0,21121,9,6,"Kalimantan Utara, 21-12-1974",49,Cerai hidup,laki-laki
509,James Rhodes,"Gang BKR No. 841
Sorong, AC 03904",+62-0020-419-6114,3902073737114428,8,surat panggilan,26,49500000,230500000,398296,21.0,3904,10,2,"Kalimantan Tengah, 03-10-1982",41,Cerai hidup,perempuan
510,Shannon Fowler,"Jalan Jakarta No. 03
Tarakan, PA 26879",+62-920-207-2254,8892894834857541,6,surat panggilan,29,69500000,419500000,597845,17.0,26879,12,12,"Papua, 04-01-1961",62,Cerai hidup,perempuan
511,Lori Griffith,"Jl. Waringin No. 95
Tebingtinggi, Kalimantan Selatan 00836",+62 (0901) 602 4796,6160554282560634,8,surat panggilan,29,177000000,260500000,508951,68.0,836,12,5,"Papua Barat, 14-12-1980",43,Belum menikah,perempuan
512,Samuel Cook,"Jalan Lembong No. 3
Madiun, SN 48263",+62 (576) 511 6253,5566655805028495,8,surat panggilan,35,75000000,143000000,538456,52.0,48263,16,11,"Sulawesi Tenggara, 01-07-1964",59,Cerai mati,perempuan
513,Robert Martinez,"Gg. Merdeka No. 9
Yogyakarta, DI Yogyakarta 92730",+62 (836) 926-2065,4766499943172584,7,surat panggilan,29,287000000,386000000,347356,74.0,92730,7,16,"Papua, 23-01-1984",39,Belum menikah,perempuan
514,Tina Wright,"Jalan Cempaka No. 3
Pekanbaru, Sulawesi Selatan 44180",+62 (029) 911-5250,3320640380032994,7,surat panggilan,28,57500000,344000000,382282,17.0,44180,18,8,"Banten, 11-11-1964",59,Cerai mati,laki-laki
515,Nathan Anthony,"Gg. Gedebage Selatan No. 0
Langsa, BA 41107",+62 (034) 226 2838,1727338384958178,9,surat panggilan,21,105500000,110000000,318639,96.0,41107,16,6,"Jawa Timur, 23-02-1974",49,Belum menikah,laki-laki
516,Troy Lloyd,"Jl. Surapati No. 7
Yogyakarta, Sumatera Utara 27309",+62 (064) 000-8985,7569580185407013,7,surat panggilan,39,193500000,282500000,607756,68.0,27309,4,17,"DI Yogyakarta, 03-10-1970",53,Belum menikah,perempuan
517,Shannon Davis,"Gg. Pasir Koja No. 37
Denpasar, Bali 60657",+62 (0481) 844-5946,5638739325056533,9,surat panggilan,21,66000000,71000000,321345,93.0,60657,9,17,"Sulawesi Tengah, 17-09-1992",31,Cerai hidup,perempuan
518,Trevor Tran,"Gg. Soekarno Hatta No. 31
Sabang, SS 24485",+62-21-282-4916,4836723432350847,9,surat panggilan,28,212000000,395000000,534738,54.0,24485,18,15,"Aceh, 06-08-1986",37,Cerai hidup,perempuan
519,Veronica Washington,"Gg. Abdul Muis No. 38
Samarinda, SS 30920",+62 (039) 973-3964,2979464548842023,8,surat panggilan,20,15500000,34000000,250627,46.0,30920,8,4,"Kalimantan Timur, 27-02-1982",41,Belum menikah,laki-laki
520,William Harmon,"Jalan Cempaka No. 5
Tasikmalaya, JB 42801",+62 (08) 056 7417,6323602382591779,7,surat panggilan,21,90500000,148000000,388222,61.0,42801,13,16,"Papua, 14-12-1971",52,Cerai mati,perempuan
521,Susan Martinez,"Gg. Ahmad Dahlan No. 253
Serang, Kalimantan Barat 85262",+62-678-369-8793,4222058146794105,9,surat panggilan,24,18500000,175500000,374773,11.0,85262,5,6,"Kepulauan Bangka Belitung, 23-04-1987",36,Cerai hidup,perempuan
522,Kevin Shaw,"Gang Lembong No. 1
Tarakan, Papua Barat 90215",+62-028-529-2906,2980126999217606,6,surat panggilan,39,38000000,135000000,776965,28.000000000000004,90215,3,13,"Sulawesi Utara, 12-01-1996",27,Cerai mati,laki-laki
523,Donna Hoover,"Gg. Veteran No. 364
Tebingtinggi, Jawa Tengah 48051",+62 (000) 419 9154,4551870821572837,7,surat panggilan,38,160500000,192500000,499836,83.0,48051,10,15,"Kalimantan Selatan, 31-05-1999",24,Menikah,perempuan
524,Steven Johnson,"Gg. Erlangga No. 7
Salatiga, Sulawesi Utara 50499",+62 (836) 384 5672,2473431546615002,6,surat panggilan,29,27000000,97000000,444665,28.000000000000004,50499,2,14,"Sulawesi Barat, 27-01-1992",31,Belum menikah,laki-laki
525,Lisa Gonzalez,"Gang Peta No. 7
Meulaboh, BT 61786",+62-0152-553-6554,7393522874738887,7,surat panggilan,23,28500000,106000000,344363,27.0,61786,13,17,"Kalimantan Timur, 29-05-1989",34,Menikah,laki-laki
526,Kimberly Ray,"Jalan Cihampelas No. 494
Kupang, Bali 42488",+62 (654) 216-6343,5899823119396590,8,surat panggilan,27,69000000,135500000,296908,51.0,42488,4,5,"DI Yogyakarta, 21-01-1978",45,Cerai hidup,perempuan
527,Anthony Jordan,"Gg. S. Parman No. 0
Serang, ST 28566",+62 (040) 588 7019,2856313020786311,7,surat panggilan,30,412000000,439000000,553886,94.0,28566,17,12,"Kalimantan Utara, 19-09-1983",40,Belum menikah,perempuan
528,Deborah Alexander,"Jl. Veteran No. 088
Blitar, Bali 86542",+62 (941) 321 0168,1988943205569632,8,surat panggilan,29,49500000,74500000,522937,66.0,86542,4,4,"Sulawesi Selatan, 26-01-1964",59,Cerai hidup,laki-laki
529,Lisa Yates,"Jalan Lembong No. 2
Pangkalpinang, ST 87180",+62 (0153) 539 3293,3125709378888848,9,surat panggilan,26,93000000,107500000,304973,87.0,87180,19,8,"Bengkulu, 17-02-1991",32,Menikah,perempuan
530,Briana Hawkins,"Jl. Cempaka No. 188
Bandung, NB 97668",+62 (36) 253 6749,5571196799341718,9,surat panggilan,35,119000000,150000000,539199,79.0,97668,13,8,"Gorontalo, 08-07-1992",31,Belum menikah,laki-laki
531,Nicholas Bradley Jr.,"Gang M.T Haryono No. 2
Bima, Nusa Tenggara Timur 76095",+62 (71) 481 0557,7297923767651252,7,surat panggilan,38,97500000,211500000,491297,46.0,76095,7,12,"Sulawesi Utara, 29-05-1965",58,Cerai mati,laki-laki
532,Christina Perkins,"Gang S. Parman No. 4
Prabumulih, Sulawesi Barat 17333",+62 (294) 057 1244,5876564401159299,8,surat panggilan,31,31000000,86500000,322205,36.0,17333,3,6,"Maluku Utara, 24-07-1994",29,Menikah,laki-laki
533,Tiffany Hines,"Gang Pacuan Kuda No. 3
Sawahlunto, KB 11220",+62 (635) 781 4923,8817898851419537,6,surat panggilan,29,301500000,306500000,593664,98.0,11220,17,20,"Bengkulu, 30-11-2000",23,Cerai hidup,perempuan
534,Melissa Steele,"Jalan Yos Sudarso No. 457
Jayapura, NT 17847",+62 (068) 401 3382,5070998344818815,6,surat panggilan,38,52500000,104000000,637202,50.0,17847,18,3,"Sumatera Barat, 25-04-1990",33,Menikah,perempuan
535,Joseph Gonzales,"Jl. Pasir Koja No. 26
Kupang, GO 34992",+62 (0156) 345 4482,3231701743669595,9,surat panggilan,28,47500000,279000000,577092,17.0,34992,4,14,"Bali, 19-08-1964",59,Cerai hidup,perempuan
536,Gerald Cameron,"Jl. Joyoboyo No. 868
Makassar, JB 55597",+62-041-179-9755,1716170085755042,7,surat panggilan,39,311000000,439000000,399823,71.0,55597,12,6,"DI Yogyakarta, 04-01-1973",50,Belum menikah,perempuan
537,Jacob Barry,"Gang Moch. Ramdan No. 19
Palopo, BB 15178",+62-03-422-6074,8310425576564302,9,surat panggilan,32,265000000,478000000,640666,55.00000000000001,15178,13,18,"Kalimantan Selatan, 17-04-1988",35,Cerai mati,laki-laki
538,Donna Miller DVM,"Gang Raya Ujungberung No. 4
Prabumulih, ST 68804",+62 (903) 850-0656,1211362083164733,8,surat panggilan,32,186000000,434500000,388802,43.0,68804,7,16,"Maluku, 09-04-1987",36,Menikah,perempuan
539,David Martin,"Gg. Sadang Serang No. 64
Palopo, Nusa Tenggara Timur 49712",+62-057-702-9962,6100396161517560,6,surat panggilan,23,166000000,218500000,251758,76.0,49712,6,2,"Maluku Utara, 03-05-1997",26,Cerai mati,perempuan
540,Carla Moreno,"Gg. Suniaraja No. 114
Palembang, PB 83480",+62 (043) 848 1954,5899093966434597,8,surat panggilan,36,44500000,100500000,714525,44.0,83480,7,9,"Riau, 28-05-1964",59,Cerai mati,perempuan
541,Stephanie Medina,"Gg. Pelajar Pejuang No. 458
Sabang, SB 54441",+62 (808) 718-3201,4109203431694832,8,surat panggilan,38,141000000,394000000,586565,36.0,54441,15,17,"Sumatera Barat, 22-09-1975",48,Belum menikah,perempuan
542,Carolyn Allison,"Jl. Tebet Barat Dalam No. 373
Kota Administrasi Jakarta Timur, Aceh 10002",+62 (52) 559-3028,4073979015755548,8,surat panggilan,30,50500000,162000000,351175,31.0,10002,13,1,"Kalimantan Timur, 18-09-2000",23,Menikah,laki-laki
543,Bryce Morris,"Gg. Setiabudhi No. 419
Semarang, SR 59885",+62 (36) 391-8812,1945967282551191,8,surat panggilan,28,127000000,385500000,491355,33.0,59885,7,13,"Papua, 21-07-1969",54,Cerai mati,laki-laki
544,Thomas Mendez,"Gg. Pasteur No. 7
Serang, LA 14812",+62 (0068) 908 4851,4802093728120325,9,surat panggilan,30,45500000,110000000,328588,41.0,14812,9,9,"Kalimantan Barat, 13-10-1974",49,Cerai hidup,perempuan
545,Samantha Morgan,"Gg. Gegerkalong Hilir No. 511
Banjar, Kalimantan Tengah 68058",+62 (339) 888-4250,6253352353378602,6,surat panggilan,20,52500000,57000000,209432,92.0,68058,13,6,"Nusa Tenggara Barat, 11-02-1983",40,Cerai mati,laki-laki
546,Hector Thomas,"Gang Sentot Alibasa No. 9
Tanjungpinang, SS 89599",+62 (0326) 683-1337,8724719468247754,6,surat panggilan,26,30500000,33500000,430089,91.0,89599,10,14,"Jawa Tengah, 29-01-1968",55,Menikah,laki-laki
547,Noah Mills,"Jalan Ciwastra No. 40
Metro, Jawa Timur 53794",+62 (097) 530-5219,6952660116035317,7,surat panggilan,36,385500000,425000000,619920,91.0,53794,1,9,"DI Yogyakarta, 20-08-1998",25,Cerai hidup,laki-laki
548,Lisa Armstrong,"Gang Moch. Ramdan No. 4
Batam, Kalimantan Timur 27369",+62-90-502-0571,5572570700957974,6,surat panggilan,28,55000000,75500000,307383,73.0,27369,15,10,"Papua, 26-03-1989",34,Cerai mati,laki-laki
549,Kimberly Wells,"Gg. Waringin No. 82
Bandar Lampung, NB 53513",+62 (070) 287 5329,1986821693971214,9,surat panggilan,33,16500000,432500000,379379,4.0,53513,16,10,"Kalimantan Barat, 01-05-1973",50,Cerai mati,laki-laki
550,Christine Burton,"Gang Dipenogoro No. 80
Cilegon, Kalimantan Selatan 13367",+62-0998-828-4699,6388259456932309,14,panggilan,42,244000000,337000000,982391,72.0,13367,11,3,"Lampung, 25-01-1972",51,Cerai mati,perempuan
551,Michael Steele,"Jl. Rajawali Barat No. 355
Yogyakarta, JI 61207",+62 (0032) 289-4485,6501732112585811,12,panggilan,41,347000000,546500000,1074286,63.0,61207,10,7,"DI Yogyakarta, 25-08-1981",42,Belum menikah,laki-laki
552,Jose Valencia,"Gg. Astana Anyar No. 130
Surakarta, AC 30433",+62 (0050) 566-2808,6069788535348896,14,panggilan,45,404000000,688500000,1554057,59.0,30433,5,4,"Sulawesi Tengah, 25-10-1991",32,Menikah,laki-laki
553,Joshua Lane,"Jl. H.J Maemunah No. 17
Metro, SN 32646",+62 (0089) 191 4140,4004458403298485,13,panggilan,45,373000000,718500000,1787752,52.0,32646,3,9,"Papua, 19-06-1980",43,Menikah,laki-laki
554,Diane Davis,"Gg. Kebonjati No. 598
Cilegon, PA 85200",+62 (005) 589-4424,7268306672528513,11,panggilan,30,125000000,171000000,804690,73.0,85200,20,13,"Sulawesi Tengah, 23-03-1961",62,Belum menikah,perempuan
555,Adam White,"Jl. Sukajadi No. 4
Bima, PB 97218",+62 (054) 832-1162,3349647458822872,13,panggilan,44,148000000,673000000,1589458,22.0,97218,15,12,"Maluku Utara, 13-04-1992",31,Belum menikah,laki-laki
556,Karen Andrade,"Gg. Astana Anyar No. 33
Tarakan, Papua Barat 80641",+62-0449-104-5076,2595772244650628,12,panggilan,39,373000000,680500000,1171146,55.00000000000001,80641,4,12,"Kalimantan Barat, 01-07-1962",61,Cerai hidup,perempuan
557,Patricia Willis,"Jl. Siliwangi No. 041
Batu, Kalimantan Timur 91666",+62 (912) 705-6456,5587069543984402,11,panggilan,46,118000000,140000000,1615002,84.0,91666,3,2,"Kepulauan Bangka Belitung, 25-09-1976",47,Cerai hidup,perempuan
558,Stephanie Smith,"Jl. Wonoayu No. 35
Tangerang, Sulawesi Utara 66261",+62-83-211-1712,2065525599552878,14,panggilan,46,162000000,899000000,1397757,18.0,66261,4,3,"Kalimantan Utara, 14-05-1970",53,Cerai hidup,laki-laki
559,Emily Mccormick,"Gg. Raya Ujungberung No. 2
Serang, BT 57868",+62 (191) 541 9956,3364502238682876,13,panggilan,31,32000000,350500000,634605,9.0,57868,15,20,"Papua Barat, 03-08-1991",32,Menikah,laki-laki
560,Jennifer Miller,"Gang Sukabumi No. 2
Pematangsiantar, JA 79933",+62 (0485) 462 8841,2368793296651924,14,panggilan,30,299000000,496000000,1024958,60.0,79933,14,15,"Kalimantan Selatan, 08-07-1964",59,Cerai mati,laki-laki
561,Brian Ballard,"Jl. S. Parman No. 213
Tegal, PA 36891",+62-796-692-7338,7981869372616610,11,panggilan,36,273000000,710000000,1075995,38.0,36891,7,8,"Kalimantan Utara, 20-10-1967",56,Cerai hidup,perempuan
562,Mario Sellers,"Jalan Asia Afrika No. 648
Meulaboh, Riau 88958",+62 (0476) 752-4665,3525922157894270,13,panggilan,37,433000000,631500000,1099231,69.0,88958,1,18,"Sulawesi Barat, 09-04-1979",44,Belum menikah,perempuan
563,Jennifer Harris,"Jalan Jayawijaya No. 3
Tanjungpinang, DKI Jakarta 56028",+62 (564) 514-1142,2869069040867224,13,panggilan,36,288000000,658000000,721334,44.0,56028,16,20,"Maluku Utara, 27-08-1994",29,Cerai hidup,laki-laki
564,Bryan Calderon,"Jalan Pasteur No. 75
Parepare, JK 01393",+62 (0296) 115 2292,8008546145710170,13,panggilan,44,370000000,516000000,1030712,72.0,1393,7,15,"Jawa Tengah, 20-09-1983",40,Menikah,perempuan
565,Mark Smith,"Gang Peta No. 19
Tarakan, Maluku 82133",+62-0509-277-5781,6985205097328953,14,panggilan,46,214000000,414000000,1662889,52.0,82133,12,9,"Gorontalo, 26-12-1970",53,Cerai mati,laki-laki
566,Maria Davis,"Jl. Lembong No. 4
Sungai Penuh, Banten 61959",+62 (10) 613 6223,9911381114364799,11,panggilan,48,450000000,814000000,992997,55.00000000000001,61959,14,9,"Bengkulu, 23-09-1965",58,Cerai hidup,perempuan
567,John Rosario,"Jl. BKR No. 08
Sawahlunto, AC 76636",+62-028-094-3068,3756449512498943,13,panggilan,47,404000000,682500000,1083621,59.0,76636,16,18,"Papua Barat, 10-12-1966",57,Belum menikah,laki-laki
568,James Walker,"Jl. Dipatiukur No. 385
Bukittinggi, KT 84573",+62-50-729-3305,4214712981868623,14,panggilan,30,279000000,540000000,631098,52.0,84573,6,3,"Sumatera Utara, 26-01-1969",54,Belum menikah,perempuan
569,Jill Mcguire,"Gg. Pasir Koja No. 012
Sabang, Kalimantan Barat 02809",+62-0218-050-2423,5742248919574299,14,panggilan,33,570000000,605500000,988802,94.0,2809,15,6,"Kalimantan Selatan, 03-04-1995",28,Menikah,laki-laki
570,Tracy Hernandez,"Gang Pasir Koja No. 22
Tegal, KB 58170",+62 (070) 848-0286,1305989843479597,11,panggilan,44,122000000,252000000,1738508,48.0,58170,11,16,"Maluku, 15-04-1977",46,Belum menikah,laki-laki
571,Linda Hodges,"Gg. M.H Thamrin No. 79
Banjarmasin, Gorontalo 20121",+62 (15) 953 6905,3298041645261288,14,panggilan,48,99000000,256000000,1373514,39.0,20121,7,16,"Sumatera Utara, 20-01-1963",60,Belum menikah,perempuan
572,Brandi Mclaughlin,"Jl. Rawamangun No. 26
Bogor, Kepulauan Bangka Belitung 07949",+62 (871) 723 4343,1951370096358854,12,panggilan,31,474000000,560500000,652453,85.0,7949,2,3,"DKI Jakarta, 01-06-1970",53,Menikah,laki-laki
573,Brandon Smith,"Gang M.T Haryono No. 14
Tarakan, Papua 97806",+62-0253-724-9504,1689934379883631,14,panggilan,42,395000000,641000000,883248,62.0,97806,3,16,"Kepulauan Bangka Belitung, 19-04-1982",41,Belum menikah,laki-laki
574,Madison Pruitt,"Gang Sukajadi No. 7
Tegal, Maluku Utara 59488",+62 (0537) 485-4052,9886508349801320,11,panggilan,32,331000000,377000000,649309,88.0,59488,10,7,"DKI Jakarta, 28-10-1998",25,Cerai mati,laki-laki
575,Timothy White,"Jl. Sadang Serang No. 81
Singkawang, Papua Barat 59009",+62 (50) 304-0131,7441235318693959,13,panggilan,47,467000000,673500000,943919,69.0,59009,15,4,"Kepulauan Riau, 27-09-1997",26,Cerai mati,laki-laki
576,Julie Crawford,"Jalan Cikutra Timur No. 975
Serang, Sulawesi Utara 11721",+62 (00) 245-5572,6430274468092554,14,panggilan,33,137000000,261500000,845355,52.0,11721,18,5,"Kalimantan Tengah, 27-11-1963",60,Belum menikah,perempuan
577,Patricia Sims,"Gang Raya Setiabudhi No. 88
Sawahlunto, SG 98807",+62-001-466-8576,4201796116434970,14,panggilan,49,209000000,335500000,1933137,62.0,98807,20,4,"Kepulauan Riau, 28-02-1980",43,Cerai mati,perempuan
578,Barbara Fisher,"Gg. Pasteur No. 0
Pontianak, Papua 94205",+62 (677) 199 0304,1150974828593912,11,panggilan,46,47000000,193000000,1421979,24.0,94205,1,11,"Sulawesi Barat, 30-01-1962",61,Belum menikah,perempuan
579,Robin Mccullough,"Jl. Dipenogoro No. 5
Batu, LA 24721",+62-677-597-4370,4725547353310800,13,panggilan,41,259000000,735500000,917013,35.0,24721,16,2,"Bali, 02-10-1978",45,Belum menikah,laki-laki
580,Tammy Cross,"Jl. Sukajadi No. 789
Tangerang, Kepulauan Riau 47061",+62-702-692-7727,8081008374136389,14,panggilan,32,88000000,155000000,661073,56.99999999999999,47061,13,6,"Sumatera Utara, 03-07-1983",40,Cerai hidup,laki-laki
581,Angela White PhD,"Gg. Antapani Lama No. 277
Sukabumi, PB 94158",+62 (096) 796-0832,2003139873430724,11,panggilan,48,61000000,99000000,1210386,62.0,94158,1,2,"Kalimantan Barat, 08-09-1968",55,Menikah,perempuan
582,Elizabeth Rodriguez,"Jalan Ronggowarsito No. 54
Kotamobagu, Nusa Tenggara Barat 99727",+62-027-008-7717,1968855846686247,14,panggilan,40,79000000,140000000,894778,56.00000000000001,99727,9,11,"Maluku, 28-08-1999",24,Belum menikah,perempuan
583,Mark Phillips,"Jl. Pacuan Kuda No. 841
Banjar, KI 83191",+62 (053) 782 0169,8028021589897997,11,panggilan,40,125000000,442000000,1311793,28.000000000000004,83191,18,11,"Sulawesi Selatan, 26-04-1993",30,Menikah,perempuan
584,Yolanda Finley,"Jalan Abdul Muis No. 9
Mojokerto, NB 93093",+62 (569) 968-4350,3553669290012126,14,panggilan,46,93000000,117000000,1008090,79.0,93093,6,4,"Sulawesi Selatan, 26-10-1994",29,Cerai mati,perempuan
585,Natalie Perez,"Jalan Tebet Barat Dalam No. 2
Bandung, GO 35222",+62-032-513-5405,4450150861279897,11,panggilan,34,202000000,250000000,990586,81.0,35222,2,15,"Nusa Tenggara Timur, 11-06-1971",52,Menikah,laki-laki
586,Amy Frye,"Gg. Dipenogoro No. 728
Sorong, NT 49287",+62-0880-550-3412,1213323767642566,14,panggilan,41,48000000,311500000,1258994,15.0,49287,16,19,"Jawa Barat, 21-07-1997",26,Cerai mati,laki-laki
587,Brittney Smith,"Gang Stasiun Wonokromo No. 48
Binjai, Lampung 33968",+62 (032) 967-6582,1582529107839548,13,panggilan,45,317000000,527500000,1361007,60.0,33968,10,13,"Riau, 03-11-2000",23,Menikah,laki-laki
588,Matthew Clark,"Jl. Tebet Barat Dalam No. 65
Tanjungbalai, Sulawesi Selatan 26376",+62 (918) 879-7261,7958115644879000,12,panggilan,48,112000000,124000000,1783448,90.0,26376,18,19,"Riau, 23-01-1965",58,Cerai hidup,laki-laki
589,Stephen Aguilar,"Jl. Gegerkalong Hilir No. 353
Purwokerto, JT 01190",+62-95-357-0691,9981163073026509,13,panggilan,38,358000000,501000000,1261693,71.0,1190,19,13,"Gorontalo, 02-01-1987",36,Cerai mati,perempuan
590,Michelle Martin,"Gang Dr. Djunjunan No. 271
Tarakan, Lampung 14516",+62 (038) 480-4361,2488347372079144,14,panggilan,44,153000000,864000000,1550435,18.0,14516,14,10,"Papua Barat, 03-05-1984",39,Belum menikah,laki-laki
